Employee_ID,Name,Base_City,Base_Country,Department,Job_Title,Years_of_Experience,Education_Level,Salary__USD_,Performance_Rating,Age,Social_Security_Number,IBAN,Disciplinary_Records
E6974,Kristina Johnson,London,UK,HR,Senior Engineer,14,PhD,68651,Needs Improvement,36,110-98-4785,IN10WWDI6687203988,None
E3283,Laurence Lecoq,London,UK,HR,Financial Analyst,2,PhD,72174,Exceeds,37,771-89-7982,FR71ALVU4112724497,None
E1665,Jennifer Brooks,London,UK,Marketing,HR Manager,3,PhD,85358,Needs Improvement,28,116-57-6637,GB70CIZL1935002050,None
E1335,Justin Forbes,London,UK,Finance,Logistics Coordinator,6,PhD,60861,Meets,26,537-50-5431,IN69ZXWR9447134304,Misconduct
E3492,Patrick Rogers,London,UK,Marketing,Financial Analyst,15,PhD,83896,Meets,51,857-64-2157,NL81ZIYG7481552214,None
E5309,इन्दु दूबे,London,UK,Operations,Logistics Coordinator,16,PhD,78374,Meets,49,632-59-8327,IN71IKYP8906075125,None
E8838,Loretta Morales,London,UK,Logistics,Financial Analyst,4,PhD,65589,Needs Improvement,43,782-54-3243,GB28SLJD2216748093,None
E1761,Anaïs Lejeune,London,UK,HR,Marketing Manager,16,PhD,69575,Needs Improvement,50,103-19-3956,GB55GSPC9710789526,None
E5621,Angela Mueller,London,UK,Research & Development,Marketing Manager,9,PhD,81765,Exceeds,28,515-59-4613,NL63KUVV5283023358,None
E7572,अनन्या श्रीविमल,Houston,USA,Operations,Logistics Coordinator,10,PhD,89295,Meets,37,742-90-7705,IN38YJBI0203324494,None
E1883,"गायकवाड, किआन",Houston,USA,Research & Development,Marketing Manager,20,PhD,73370,Exceeds,38,416-13-7856,FR78TFKI8167705901,None
E2117,Julie Guerrero,Houston,USA,Operations,Logistics Coordinator,10,PhD,73918,Needs Improvement,52,435-91-7838,FR76POVD9029563894,None
E4136,Erin Dalton,Aberdeen,UK,HR,Logistics Coordinator,3,PhD,68388,Meets,46,998-65-7957,GB17JONP1201856174,None
